ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1
,variation,,,ES DAU - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,718,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DAU - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,718,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DAU - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,718,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DAU - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,718,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,174,,ES DAV 6021,1,0,visible,Las imágenes son ilustrativas,"CREMA DE ENJUAGUE Y SHAMPOO,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-DAV-6021.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DAV 6021 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,174,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES DAV 6021 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,174,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DAV 6021 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,174,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DAV 6021 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,174,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DAV 6021 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,174,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,175,,ES DRAC 7005,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PERFUME DE AMBIENTE,DESODORANTE DE PISO,JABÓN LÍQUIDO,",,,taxable,,1,,,0,0,,,,,1,,,,ÁMBAR,ÁMBAR,,http://localhost:8069/wp-content/uploads/2026/03/ES-DRAC-7005.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DRAC 7005 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,175,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES DRAC 7005 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,175,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DRAC 7005 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,175,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DRAC 7005 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,175,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DRAC 7005 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,175,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,176,,ES DURAZNO 5012,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,FRUTAL,FRUTAL,,http://localhost:8069/wp-content/uploads/2026/03/ES-DURAZNO-5012.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DURAZNO 5012 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,176,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES DURAZNO 5012 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,176,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DURAZNO 5012 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,176,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DURAZNO 5012 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,176,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DURAZNO 5012 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,176,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,699,,ES DURAZNO Y,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,FRUTAL,FRUTAL,,http://localhost:8069/wp-content/uploads/2026/03/ES-DURAZNO-Y.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DURAZNO Y - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,699,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES DURAZNO Y - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,699,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DURAZNO Y - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,699,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DURAZNO Y - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,699,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DURAZNO Y - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,699,,,,,,5,,Presentaciones,20 Litros,,0,
